1,Experimental framework for searching large RDF on GPUs based on key-value storage,2010
2,Distributed Kernel Matrix Approximation and Implementation Using Message Passing Interface,2001
3,GraphReduce: Large-Scale Graph Analytics on Accelerator-Based HPC Systems,2001
4,A system for large-scale visualization of streaming Doppler data,2014
5,A Failure Recovery Solution for Transplanting High-Performance Data-Intensive Algorithms from the Cluster to the Cloud,2009
6,Parallel Breadth First Search on GPU clusters,2014
7,The extraction of feature points from DEM geographic data in Cloud Computing environment,2003
8,Software platform VAR for heterogeneous GPGPU-systems,2004
9,A CUDA-enabled Hadoop cluster for fast distributed image processing,2015
10,ACURDION: An adaptive clustering-based algorithm for tracing large-scale MPI applications,2008
11,Task-Tree Based Large-Scale Mosaicking for Massive Remote Sensed Imageries with Dynamic DAG Scheduling,2019
12,InterSense: Interconnect Performance Emulator for Future Scale-out Distributed Memory Applications,2014
13,Performance Model for Parallel Matrix Multiplication with Dryad: Dataflow Graph Runtime,2008
14,GPU accelerated item-based collaborative filtering for big-data applications,2014
15,A fast parallel algorithm for counting triangles in graphs using dynamic load balancing,2017
16,Remote GPU Virtualization: Is It Useful?,2017
17,Towards an Energy-Efficient Tool for Processing the Big Data,2009
18,GERBIL: MPI+YARN,2007
19,Tight Coupling of R and Distributed Linear Algebra for High-Level Programming with Big Data,2006
20,k-Balanced sorting and skew join in MPI and MapReduce,2002
21,A Parallel Algorithm to Mine Abnormal Patterns from Satellite Data,2016
22,Watershed reengineering: Making Streams Programmable,2014
23,Analysis and acceleration of NTRU lattice-based cryptographic system,2012
24,Handling Big Data Efficiently by Using Map Reduce Technique,2002
25,Design and Optimization of a Big Data Computing Framework Based on CPU/GPU Cluster,2003
26,Order-Invariant Real Number Summation: Circumventing Accuracy Loss for Multimillion Summands on Multiple Parallel Architectures,2017
27,A GPU-accelerated Density-Based Clustering Algorithm,2018
28,An Empirical Study on BLAST Parallel Acceleration,2010
29,Optimize Parallel Data Access in Big Data Processing,2010
30,Parallelizing K-Means Algorithm for 1-D Data Using MPI,2018
31,Accelerating Complex Event Processing through GPUs,2000
32,The Visualization of Large Graphs Accelerated by the Parallel Nearest Neighbors Algorithm,2014
33,Towards a Collective Layer in the Big Data Stack,2005
34,Parallelization of Error Weighted Hashing for Approximate k-Nearest Neighbour Search on GPU-CPU Hybrid,2005
35,Hash match on GPU,2012
36,DL-MPI: Enabling data locality computation for MPI-based data-intensive applications,2012
37,Big Data Computation for Workshop-Based Planning Support,2012
38,CUDA Acceleration for AVS2 Loop Filtering,2003
39,Connecting the dots: Triangle completion and related problems on large data sets using GPUs,2001
40,Connecting the dots: Triangle completion and related problems on large data sets using GPUs,2004
41,Real-Time True-Color Synthesis of Remote Sensing Image with CUDA,2013
42,Join algorithms on GPUs: A revisit after seven years,2012
43,Benchmarking Different MapReduce Implementations for Computer-Aided Hardware Development,2019
44,Efficient data classification by GPU-accelerated linear mean squared slack minimization,2006
45,Simulation of parallel similarity measure computations for large data sets,2012
46,Fast LZW Compression Using a GPU,2009
47,Accelerating Apache Hive with MPI for Data Warehouse Systems,2014
48,Distributed-memory parallel algorithms for generating massive scale-free networks using preferential attachment model,2010
49,Collective Computing for Scientific Big Data Analysis,2019
50,On Efficiently Capturing Scientific Properties in Distributed Big Data without Moving the Data: A Case Study in Distributed Structural Biology Using MapReduce,2019
51,A GPU-Based Parallel Computing Framework for Accelerating the Reconstruction of q-Ball Imaging,2019
