1,Experimental framework for searching large RDF on GPUs based on key-value storage
2,Distributed Kernel Matrix Approximation and Implementation Using Message Passing Interface
3,GraphReduce: Large-Scale Graph Analytics on Accelerator-Based HPC Systems
4,A system for large-scale visualization of streaming Doppler data
5,A Failure Recovery Solution for Transplanting High-Performance Data-Intensive Algorithms from the Cluster to the Cloud
6,Parallel Breadth First Search on GPU clusters
7,The extraction of feature points from DEM geographic data in Cloud Computing environment
8,Software platform VAR for heterogeneous GPGPU-systems
9,A CUDA-enabled Hadoop cluster for fast distributed image processing
10,ACURDION: An adaptive clustering-based algorithm for tracing large-scale MPI applications
11,Task-Tree Based Large-Scale Mosaicking for Massive Remote Sensed Imageries with Dynamic DAG Scheduling
12,InterSense: Interconnect Performance Emulator for Future Scale-out Distributed Memory Applications
13,Performance Model for Parallel Matrix Multiplication with Dryad: Dataflow Graph Runtime
14,GPU accelerated item-based collaborative filtering for big-data applications
15,A fast parallel algorithm for counting triangles in graphs using dynamic load balancing
16,Remote GPU Virtualization: Is It Useful?
17,Towards an Energy-Efficient Tool for Processing the Big Data
18,GERBIL: MPI+YARN
19,Tight Coupling of R and Distributed Linear Algebra for High-Level Programming with Big Data
20,k-Balanced sorting and skew join in MPI and MapReduce
21,A Parallel Algorithm to Mine Abnormal Patterns from Satellite Data
22,Watershed reengineering: Making Streams Programmable
23,Analysis and acceleration of NTRU lattice-based cryptographic system
24,Handling Big Data Efficiently by Using Map Reduce Technique
25,Design and Optimization of a Big Data Computing Framework Based on CPU/GPU Cluster
26,Order-Invariant Real Number Summation: Circumventing Accuracy Loss for Multimillion Summands on Multiple Parallel Architectures
27,A GPU-accelerated Density-Based Clustering Algorithm
28,An Empirical Study on BLAST Parallel Acceleration
29,Optimize Parallel Data Access in Big Data Processing
30,Parallelizing K-Means Algorithm for 1-D Data Using MPI
31,Accelerating Complex Event Processing through GPUs
32,The Visualization of Large Graphs Accelerated by the Parallel Nearest Neighbors Algorithm
33,Towards a Collective Layer in the Big Data Stack
34,Parallelization of Error Weighted Hashing for Approximate k-Nearest Neighbour Search on GPU-CPU Hybrid
35,Hash match on GPU
36,DL-MPI: Enabling data locality computation for MPI-based data-intensive applications
37,Big Data Computation for Workshop-Based Planning Support
38,CUDA Acceleration for AVS2 Loop Filtering
39,Connecting the dots: Triangle completion and related problems on large data sets using GPUs
40,Connecting the dots: Triangle completion and related problems on large data sets using GPUs
41,Real-Time True-Color Synthesis of Remote Sensing Image with CUDA
42,Join algorithms on GPUs: A revisit after seven years
43,Benchmarking Different MapReduce Implementations for Computer-Aided Hardware Development
44,Efficient data classification by GPU-accelerated linear mean squared slack minimization
45,Simulation of parallel similarity measure computations for large data sets
46,Fast LZW Compression Using a GPU
47,Accelerating Apache Hive with MPI for Data Warehouse Systems
48,Distributed-memory parallel algorithms for generating massive scale-free networks using preferential attachment model
49,Collective Computing for Scientific Big Data Analysis
50,On Efficiently Capturing Scientific Properties in Distributed Big Data without Moving the Data: A Case Study in Distributed Structural Biology Using MapReduce
51,A GPU-Based Parallel Computing Framework for Accelerating the Reconstruction of q-Ball Imaging
52,Large-Scale Reservoir Simulations on Parallel Computers
53,Spatial data processing with MapReduce
54,Algorithms in ParAFEMImp: A Parallel and Wideband Impedance Extraction Program for Complicated 3-D Geometries
55,High Performance Offline and Online Distributed Collaborative Filtering
56,Particle Swarm Optimization-Based Impurity Function Band Prioritization Using Weighted Majority Voting for Feature Extraction of High Dimensional Data Sets
57,Planar: Parallel lightweight architecture-aware adaptive graph repartitioning
58,CUDA-Accelerated Rendering of Fireworks in Nearly Ultra High Definition Videos
59,DataMPI: Extending MPI to Hadoop-Like Big Data Computing
60,Driving big data with big compute
61,Evaluation of SMP Shared Memory Machines for Use with In-Memory and OpenMP Big Data Applications
62,Can Network-Offload Based Non-blocking Neighborhood MPI Collectives Improve Communication Overheads of Irregular Graph Algorithms?
63,Fast Multi-line Detection and Tracking with CUDA for Vision-Based UAV Autopilot
64,SCALER: Scalable parallel file write in HDFS
65,A Parallel Algorithm for Compression of Big Next-Generation Sequencing Datasets
66,Feliss: Flexible distributed computing framework with light-weight checkpointing
67,FlexiMod: Flexible Coexistence Support for Programming Models
68,Accelerating HEVC Motion Estimation Using GPU
69,A performance model of fast 2D-DCT parallel JPEG encoding using CUDA GPU and SMP-architecture
70,Lit: A high performance massive data computing framework based on CPU/GPU cluster
71,Using Iterative MapReduce for Parallel Virtual Screening
72,Performance modeling in CUDA streams â€” A means for high-throughput data processing
73,Super-fast parallel eigenface implementation on GPU for face recognition
74,Efficient implementation of apriori algorithm on HDFS using GPU
75,A GPU Based SVM Method with Accelerated Kernel Matrix Calculation
76,Social Network analysis on Sina Weibo based on K-means algorithm
77,A Novel Scalable DBSCAN Algorithm with Spark
78,A faster and intelligent steganography detection using Graphics Processing Unit in cloud
79,Accelerating IEEE 1857 Deblocking Filter on GPU Using CUDA
80,Enabling point pattern analysis on spatial big data using cloud computing: optimizing and accelerating Ripley’s K function
81,Parallelization of Error Weighted Hashing for Approximate k-Nearest Neighbour Search on GPU-CPU Hybrid
82,Energy efficient job co-scheduling for high-performance parallel computing clusters
83,MPI derived datatypes and data communication analysis in meteorological applications
84,A general accelerated R package using GPU
85,Remote GPU Virtualization: Is It Useful?
86,OpenCL caffe: Accelerating and enabling a cross platform machine learning framework
87,Real-Time True-Color Synthesis of Remote Sensing Image with CUDA
88,Fast LZW Compression Using a GPU
89,Spatial data processing with MapReduce
90,The extraction of feature points from DEM geographic data in Cloud Computing environment
91,SPIDAL Java: High performance data analytics with Java and mpi on large multicore HPC clusters
92,A parallel algorithm for LZW decompression"
93,Kernel optimization on short-range potentials computations in molecular dynamics simulations
94,A performance characterization of streaming computing on supercomputers
95,GiGA: Giraph-based genome assembler for gigabase scale genomes
96,Efficient evidence accumulation clustering for large datasets
97,ACURDION: An adaptive clustering-based algorithm for tracing large-scale MPI applications
98,Big data computation for workshop-based planning support
